"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
62,"DrugA vs Control","U2OS6h_DrugA vs Control","AKT1","P31749","AGC","Akt",2.57266839952596,1.53641906544464,0.618647743870402,0.825658919590885,27
36,"DrugA vs Control","U2OS6h_DrugA vs Control","AKT2","P31751","AGC","Akt",2.16465840511464,1.59875472193885,0.752873180926242,0.759020575116734,27
16,"DrugA vs Control","U2OS6h_DrugA vs Control","AKT3","Q9Y243","AGC","Akt",2.85830371598579,1.62187756901316,2.02407164900621,1.59641809365517,9
78,"DrugA vs Control","U2OS6h_DrugA vs Control","ARAF","P10398","TKL","RAF",1.79467759645675,1.50857185348414,0.141359935501642,-0.955319090894947,3
97,"DrugA vs Control","U2OS6h_DrugA vs Control","ATR","Q13535","Atypical","PIKK",2.12156313549202,1.70373367603618,0.260108617970503,0.347250172421887,7
98,"DrugA vs Control","U2OS6h_DrugA vs Control","AURKA","O14965","CAMK","Aur",1.44681932721821,1.68333399710358,0.0195228077398959,-0.488914883623558,5
102,"DrugA vs Control","U2OS6h_DrugA vs Control","AURKB","Q96GD4","CAMK","Aur",1.07699377794094,0.927736242077977,0.234311240340513,0.0932029469776228,4
79,"DrugA vs Control","U2OS6h_DrugA vs Control","BRAF","P15056","TKL","RAF",1.61826119622281,1.73602671069193,0.21844443699534,-1.26387852728379,3
5,"DrugA vs Control","U2OS6h_DrugA vs Control","CAMK2A","Q9UQM7","CAMK","CAMK2",4.23793974635989,1.62572847208228,1.97885832157658,3.3803913266693,7
20,"DrugA vs Control","U2OS6h_DrugA vs Control","CAMK2B","Q13554","CAMK","CAMK2",2.80505387765943,1.72258922519517,0.940476110970215,2.7675933336081,5
6,"DrugA vs Control","U2OS6h_DrugA vs Control","CAMK2D","Q13557","CAMK","CAMK2",4.30848504536821,1.55744235292922,2.26564805513247,3.7282121073332,8
4,"DrugA vs Control","U2OS6h_DrugA vs Control","CAMK2G","Q13555","CAMK","CAMK2",3.94339040931694,1.48158924064245,2.62337188465668,3.51852807922262,8
9,"DrugA vs Control","U2OS6h_DrugA vs Control","CAMK4","Q16566","CAMK","CAMK1",3.86964612348391,1.61839339552278,1.62174533380533,2.8228137785232,11
61,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK1","P06493","CMGC","CDK",1.21336906398402,1.77884880897514,0.293134771692312,-0.494485939414636,17
45,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK10","Q15131","CMGC","CDK",2.51815856985872,1.53825483231789,0.49228008558164,0.931442077994026,5
90,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK11A","Q9UQ88","CMGC","CDK",1.70262816802558,1.4398740850288,0.218822535014895,-1.32076363621661,4
23,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK13","Q14004","CMGC","CDK",2.76010036296131,1.47560533077661,1.40530221868791,-1.91945785990581,4
26,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK15","Q96Q40","CMGC","CDK",2.90600518234562,1.5023217719316,0.803910687799362,2.31866045885794,5
87,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK17","Q00537","CMGC","CDK",2.1769412890333,1.43816070016089,0.393158314941588,-0.912137999804673,3
50,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK18","Q07002","CMGC","CDK",2.19350640029841,1.77454168116816,0.494192743760461,-0.206641740958021,4
42,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK19","Q9BWU1","CMGC","CDK",1.81142402048505,1.86673510233163,0.685433975400665,-1.85972796604077,5
66,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK2","P24941","CMGC","CDK",1.6223543810549,1.77542245972005,0.485234276805119,-1.08680200517532,16
84,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK3","Q00526","CMGC","CDK",1.68578009700708,1.59538698900297,0.472597705017157,-1.1250020248729,11
63,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK4","P11802","CMGC","CDK",2.1964161250167,1.43000710131565,0.417214615065313,-0.581663142580346,7
38,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK5","Q00535","CMGC","CDK",2.33782214373731,1.5574927642198,0.616332213429662,-1.17773917447814,12
52,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK6","Q00534","CMGC","CDK",2.05928055769016,1.5444434490386,0.56338073522154,-1.21549042734176,7
75,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK7","P50613","CMGC","CDK",2.44918753433356,1.67359018245166,0.567138522691192,-0.671357953405155,13
34,"DrugA vs Control","U2OS6h_DrugA vs Control","CDK9","P50750","CMGC","CDK",2.42728666423334,1.52136671691021,0.946195868211123,-1.40309450585871,8
94,"DrugA vs Control","U2OS6h_DrugA vs Control","CDKL1","Q00532","CMGC","CDKL",1.7571681298946,1.62471512026083,0.571626218639945,-0.391703856909583,5
15,"DrugA vs Control","U2OS6h_DrugA vs Control","CDKL2","Q92772","CMGC","CDKL",2.51083459426711,1.71096384341758,1.09430062600486,-3.13203845266921,3
17,"DrugA vs Control","U2OS6h_DrugA vs Control","CDKL4","Q5MAI5","CMGC","CDKL",2.93043339450995,1.67911736279449,0.945725040929539,-3.17399723454951,4
72,"DrugA vs Control","U2OS6h_DrugA vs Control","CDKL5","O76039","CMGC","CDKL",1.6261404434285,1.67367134829503,0.24217264253815,-1.06473896322339,6
59,"DrugA vs Control","U2OS6h_DrugA vs Control","CHEK1","O14757","CAMK","CAMKL",2.06128455400773,1.38216847972855,0.488122856922367,0.9451217526634,9
27,"DrugA vs Control","U2OS6h_DrugA vs Control","CHEK2","O96017","CAMK","RAD53",2.7543097292613,1.75414564437059,0.907072122913243,0.628232181148512,17
19,"DrugA vs Control","U2OS6h_DrugA vs Control","CHUK","O15111","OTHER","IKK",2.51869984530518,1.75455537669899,0.815812337025177,3.08523518249805,4
100,"DrugA vs Control","U2OS6h_DrugA vs Control","CILK1","Q9UPZ9","CMGC","CDK",1.75069130546262,1.73749754731389,0.270679829221231,-0.932542280857614,3
77,"DrugA vs Control","U2OS6h_DrugA vs Control","COQ8A","Q8NI60","Atypical",NA,1.89997959939407,1.58871143803164,0.198923637763904,-0.446511891623526,10
