"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
74,"DrugA vs Control","U2OS_DrugA vs Control","MAP3K6","O95382","STE","STE11",1.30605511438935,0.918482126289984,0.170283108577631,-0.591264096877375,4
38,"DrugA vs Control","U2OS_DrugA vs Control","MATK","P42679","TYR","Csk",1.77291045327937,1.0723505844376,0.621750752151984,-0.81655617190336,38
51,"DrugA vs Control","U2OS_DrugA vs Control","MERTK","Q12866","TYR","Axl",1.55253584604414,0.874111465067761,0.214341997918498,-0.769098005837259,41
41,"DrugA vs Control","U2OS_DrugA vs Control","MET","P08581","TYR","Met",1.10683547511996,1.057657132197,0.643938059038613,-0.87668246194321,29
13,"DrugA vs Control","U2OS_DrugA vs Control","MST1R","Q04912","TYR","Met",2.36858121931953,0.873591284319958,1.50211644994455,-0.945928900002107,13
31,"DrugA vs Control","U2OS_DrugA vs Control","MUSK","O15146","TYR","Musk",1.73205180916186,1.24211299656605,0.645719037344311,-0.883636738154458,11
95,"DrugA vs Control","U2OS_DrugA vs Control","NEK10","Q6ZWH5","NEK","NEK",0.783324439750744,0.482194625448994,0.257089148988686,-0.46973646770723,3
62,"DrugA vs Control","U2OS_DrugA vs Control","NTRK1","P04629","TYR","Trk",1.76712821309393,0.956871360672626,0.69983645899372,-0.6845871041799,24
21,"DrugA vs Control","U2OS_DrugA vs Control","NTRK2","Q16620","TYR","Trk",2.00275248046251,1.05089571560731,0.830546899898103,-0.770787197373165,25
55,"DrugA vs Control","U2OS_DrugA vs Control","NTRK3","Q16288","TYR","Trk",1.24799183877206,1.0451874182018,0.485717607572491,-0.7530048074725,31
19,"DrugA vs Control","U2OS_DrugA vs Control","PDGFRA","P16234","TYR","PDGFR",1.94142875120249,1.11819418150223,0.825347827329333,-0.893201265616498,15
85,"DrugA vs Control","U2OS_DrugA vs Control","PDGFRB","P09619","TYR","PDGFR",0.737490923154281,0.677427333565622,0.176978085409034,-0.540506112816887,19
94,"DrugA vs Control","U2OS_DrugA vs Control","PDK1","Q15118","Atypical","PDHK",0.692664512458913,0.554056099682946,-0.0171904771706649,-0.460905199544488,11
102,"DrugA vs Control","U2OS_DrugA vs Control","PDK3","Q15120","Atypical","PDHK",0.0337990101263733,-0.00985307003144339,0.165661422534779,-0.0121446813734172,6
98,"DrugA vs Control","U2OS_DrugA vs Control","PDK4","Q16654","Atypical","PDHK",0.19503769227594,0.414474824492435,0.0359550614139317,-0.354601633996713,12
7,"DrugA vs Control","U2OS_DrugA vs Control","PINK1","Q9BXM7","OTHER","NKF2",3.06820219439119,1.59675962223206,1.10091501798639,-1.32358969409998,3
35,"DrugA vs Control","U2OS_DrugA vs Control","PKMYT1","Q99640","OTHER","WEE",1.80780553858556,0.960897333923253,0.735387425556756,-0.919596088788015,7
80,"DrugA vs Control","U2OS_DrugA vs Control","PTK2","Q05397","TYR","FAK",0.707195921099037,0.800669032152435,0.0516980252631087,-0.742224849095921,45
78,"DrugA vs Control","U2OS_DrugA vs Control","PTK2B","Q14289","TYR","FAK",1.2546955916974,0.794012014465622,0.198841083364961,-0.811228165610854,37
64,"DrugA vs Control","U2OS_DrugA vs Control","PTK6","Q13882","TYR","Src",1.2630135785852,1.08097007712922,0.269261663955842,-0.68458419848409,72
11,"DrugA vs Control","U2OS_DrugA vs Control","RET","P07949","TYR","Ret",3.03472877455256,1.23818624759149,1.83699206037756,-0.893846913452978,23
