"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
8,"DrugA vs Control","U2OS6h_DrugA vs Control","ABL1","P00519","TYR","Abl",2.41788239114217,1.6214728905264,1.08273736660627,0.513396003391984,50
24,"DrugA vs Control","U2OS6h_DrugA vs Control","ABL2","P42684","TYR","Abl",2.40563145092917,1.07568218463977,0.65116417375169,0.380561694615736,55
38,"DrugA vs Control","U2OS6h_DrugA vs Control","ALK","Q9UM73","TYR","ALK",1.58903826244718,1.26623989224883,0.403547244964338,0.154327998137305,52
70,"DrugA vs Control","U2OS6h_DrugA vs Control","AXL","P30530","TYR","Axl",0.417332495025899,0.704794313789059,0.2924325803118,0.23933304918785,67
43,"DrugA vs Control","U2OS6h_DrugA vs Control","BLK","P51451","TYR","Src",1.73380131302726,1.02866510143907,0.26480211881984,0.0720618518716653,22
15,"DrugA vs Control","U2OS6h_DrugA vs Control","BMX","P51813","TYR","Tec",2.25946673882991,1.54496272046631,0.817878725592457,0.2081362397806,34
57,"DrugA vs Control","U2OS6h_DrugA vs Control","BTK","Q06187","TYR","Tec",0.733966511577658,0.659589802490096,0.11326364667745,-0.319658514958205,18
7,"DrugA vs Control","U2OS6h_DrugA vs Control","CSF1R","P07333","TYR","PDGFR",2.56137197010892,1.50994618162996,1.14022030111988,0.992274426538089,7
18,"DrugA vs Control","U2OS6h_DrugA vs Control","CSK","P41240","TYR","Csk",2.14597146659426,1.39825352172653,0.665974665981731,0.102096572363638,45
41,"DrugA vs Control","U2OS6h_DrugA vs Control","EGFR","P00533","TYR","EGFR",1.40562542632988,1.14436634554637,0.245079419893655,0.0703038436404334,53
35,"DrugA vs Control","U2OS6h_DrugA vs Control","EPHA1","P21709","TYR","Eph",1.95342481843934,1.53033839897563,0.265115197384139,-0.937601536353365,4
4,"DrugA vs Control","U2OS6h_DrugA vs Control","EPHA10","Q5JZY3","TYR","Eph",2.69627804864585,1.51213684393196,1.43044235501913,2.07953869087215,3
40,"DrugA vs Control","U2OS6h_DrugA vs Control","EPHA2","P29317","TYR","Eph",1.77846351127482,0.760392053342145,0.276155012994307,0.273206801066775,7
11,"DrugA vs Control","U2OS6h_DrugA vs Control","EPHA3","P29320","TYR","Eph",2.33952677135727,1.50615913857107,0.918619367875456,1.263256964234,3
23,"DrugA vs Control","U2OS6h_DrugA vs Control","EPHA4","P54764","TYR","Eph",2.53545798445364,1.61645237931772,0.609098962714755,0.979426748370197,3
